Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,290959019,3732.8566611890446,10316228,132.35197362328526,1276532,5446753,69.8790788056012,41525,0.5327446916360253,4632,
United States of America,Americas,54910550,16589.157,2892711,873.924,483805,819656,247.628,9524,2.877,592
India,South-East Asia,34960261,2533.344,160570,11.635,37379,482017,34.929,1727,0.125,124
Brazil,Americas,22293228,10487.998,53792,25.307,1721,619133,291.275,685,0.322,28
The United Kingdom,Europe,13422819,19772.587,1184392,1744.678,157758,148893,219.328,880,1.296,42
Russian Federation,Europe,10570212,7243.123,133060,91.178,15903,312187,213.923,6097,4.178,834
France,Europe,10053955,15458.263,1157997,1780.456,63867,121619,186.993,1295,1.991,269
Turkey,Europe,9596779,11378.806,264447,313.552,44869,82795,98.169,1062,1.259,160
Germany,Europe,7238408,8703.492,212039,254.957,30561,112579,135.365,1774,2.133,356
Spain,Europe,6667511,14086.505,630190,1331.408,34810,89573,189.242,231,0.488,8
Italy,Europe,6396110,10724.263,717998,1203.857,68034,137786,231.024,1033,1.732,140
Iran (Islamic Republic of),Eastern Mediterranean,6198590,7379.893,11861,14.121,1677,131702,156.801,268,0.319,22
Argentina,Americas,5694930,12600.581,234888,519.712,20502,117204,259.325,169,0.374,23
Colombia,Americas,5181173,10182.544,56483,111.006,11318,130026,255.54,265,0.521,40
Indonesia,South-East Asia,4263732,1558.817,1575,0.576,299,144105,52.685,34,0.012,3
Poland,Europe,4145518,10921.289,80803,212.874,11667,98034,258.269,3120,8.22,433
Mexico,Americas,3990587,3095.092,38654,29.98,1671,299544,232.326,725,0.562,19
Ukraine,Europe,3678088,8410.18,28852,65.972,1746,96436,220.507,1331,3.043,135
South Africa,Africa,3475512,5860.038,58194,98.121,3076,91312,153.961,483,0.814,84
Netherlands,Europe,3180329,18269.789,104163,598.377,14623,20971,120.47,245,1.407,14
Philippines,Western Pacific,2855819,2606.124,17129,15.631,4084,51586,47.076,375,0.342,16
Malaysia,Western Pacific,2767044,8549.231,23108,71.396,2690,31560,97.51,191,0.59,28
Czechia,Europe,2493145,23313.627,38320,358.334,9333,36326,339.688,354,3.31,25
Peru,Americas,2302678,6983.769,23379,70.906,1501,202782,615.015,258,0.782,41
Thailand,South-East Asia,2235576,3202.832,20864,29.891,3091,21750,31.16,120,0.172,12
Canada,Americas,2142310,5676.173,148161,392.561,0,30280,80.229,127,0.336,0
Belgium,Europe,2133284,18514.169,64618,560.801,16,28385,246.345,137,1.189,5
Iraq,Eastern Mediterranean,2094349,5206.91,1699,4.224,252,24174,60.101,35,0.087,7
Romania,Europe,1813056,9380.057,9745,50.417,1756,58814,304.281,239,1.236,18
Chile,Americas,1811297,9475.193,10264,53.693,995,39173,204.92,117,0.612,11
Viet Nam,Western Pacific,1778976,1827.617,112431,115.505,15936,33021,33.924,1603,1.647,190
Japan,Western Pacific,1735591,1372.264,3584,2.834,783,18396,14.545,9,0.007,1
