user_id,market,market_1,log_in_date
JH-159851,APAC,APAC,2011-01-01T00:00:00
CM-122351,APAC,APAC,2011-01-03T00:00:00
DP-133901,APAC,APAC,2011-01-03T00:00:00
KL-166451,APAC,APAC,2011-01-03T00:00:00
KN-164501,APAC,APAC,2011-01-03T00:00:00
LB-167351,APAC,APAC,2011-01-03T00:00:00
BD-115001,APAC,APAC,2011-01-04T00:00:00
SW-204551,APAC,APAC,2011-01-05T00:00:00
BH-117101,APAC,APAC,2011-01-06T00:00:00
KM-166601,APAC,APAC,2011-01-06T00:00:00
RD-196601,APAC,APAC,2011-01-06T00:00:00
AB-100601,APAC,APAC,2011-01-07T00:00:00
MS-173651,APAC,APAC,2011-01-07T00:00:00
NF-185951,APAC,APAC,2011-01-08T00:00:00
AG-102701,APAC,APAC,2011-01-09T00:00:00
EB-137051,APAC,APAC,2011-01-09T00:00:00
SC-200501,APAC,APAC,2011-01-09T00:00:00
BD-116051,APAC,APAC,2011-01-10T00:00:00
DL-128651,APAC,APAC,2011-01-10T00:00:00
PO-188651,APAC,APAC,2011-01-10T00:00:00
DF-131351,APAC,APAC,2011-01-11T00:00:00
DV-134651,APAC,APAC,2011-01-11T00:00:00
SC-206801,APAC,APAC,2011-01-11T00:00:00
TN-210401,APAC,APAC,2011-01-11T00:00:00
CS-118451,APAC,APAC,2011-01-13T00:00:00
MY-182951,APAC,APAC,2011-01-14T00:00:00
MC-181001,APAC,APAC,2011-01-15T00:00:00
TW-210251,APAC,APAC,2011-01-17T00:00:00
VM-218351,APAC,APAC,2011-01-17T00:00:00
PW-190301,APAC,APAC,2011-01-19T00:00:00
TR-213251,APAC,APAC,2011-01-20T00:00:00
PW-190301,APAC,APAC,2011-01-21T00:00:00
SS-208751,APAC,APAC,2011-01-22T00:00:00
CC-124301,APAC,APAC,2011-01-24T00:00:00
JM-155801,APAC,APAC,2011-01-24T00:00:00
LC-168851,APAC,APAC,2011-01-24T00:00:00
MW-182201,APAC,APAC,2011-01-24T00:00:00
LW-172151,APAC,APAC,2011-01-25T00:00:00
AA-106451,APAC,APAC,2011-01-26T00:00:00
CA-122651,APAC,APAC,2011-01-26T00:00:00
HK-148901,APAC,APAC,2011-01-26T00:00:00
NM-184451,APAC,APAC,2011-01-26T00:00:00
DB-133601,APAC,APAC,2011-01-27T00:00:00
KN-164501,APAC,APAC,2011-01-27T00:00:00
PO-188651,APAC,APAC,2011-01-27T00:00:00
JR-157001,APAC,APAC,2011-01-28T00:00:00
MP-179651,APAC,APAC,2011-01-28T00:00:00
HE-148001,APAC,APAC,2011-01-30T00:00:00
BD-115601,APAC,APAC,2011-01-31T00:00:00
LS-172001,APAC,APAC,2011-01-31T00:00:00
SF-202001,APAC,APAC,2011-01-31T00:00:00
TS-216101,APAC,APAC,2011-01-31T00:00:00
DK-131501,APAC,APAC,2011-02-01T00:00:00
PO-188651,APAC,APAC,2011-02-01T00:00:00
SP-206501,APAC,APAC,2011-02-01T00:00:00
DN-136901,APAC,APAC,2011-02-02T00:00:00
ES-140801,APAC,APAC,2011-02-02T00:00:00
GD-145901,APAC,APAC,2011-02-02T00:00:00
TS-211601,APAC,APAC,2011-02-03T00:00:00
CC-123701,APAC,APAC,2011-02-04T00:00:00
DB-136601,APAC,APAC,2011-02-07T00:00:00
LT-171101,APAC,APAC,2011-02-07T00:00:00
NW-184001,APAC,APAC,2011-02-07T00:00:00
SW-202751,APAC,APAC,2011-02-07T00:00:00
BP-110951,APAC,APAC,2011-02-08T00:00:00
DR-129401,APAC,APAC,2011-02-09T00:00:00
EH-140051,APAC,APAC,2011-02-09T00:00:00
CA-119651,APAC,APAC,2011-02-10T00:00:00
FO-143051,APAC,APAC,2011-02-10T00:00:00
ME-180101,APAC,APAC,2011-02-10T00:00:00
SP-208601,APAC,APAC,2011-02-11T00:00:00
MG-178901,APAC,APAC,2011-02-12T00:00:00
DB-132701,APAC,APAC,2011-02-14T00:00:00
KB-164051,APAC,APAC,2011-02-14T00:00:00
TG-213101,APAC,APAC,2011-02-14T00:00:00
CM-123851,APAC,APAC,2011-02-15T00:00:00
JE-154751,APAC,APAC,2011-02-15T00:00:00
BF-112151,APAC,APAC,2011-02-16T00:00:00
BW-111101,APAC,APAC,2011-02-16T00:00:00
LA-167801,APAC,APAC,2011-02-17T00:00:00
LB-167951,APAC,APAC,2011-02-17T00:00:00
CM-121601,APAC,APAC,2011-02-18T00:00:00
JR-156701,APAC,APAC,2011-02-18T00:00:00
ML-180401,APAC,APAC,2011-02-18T00:00:00
RD-199001,APAC,APAC,2011-02-18T00:00:00
LT-167651,APAC,APAC,2011-02-19T00:00:00
AG-109001,APAC,APAC,2011-02-21T00:00:00
AR-105101,APAC,APAC,2011-02-21T00:00:00
EA-140351,APAC,APAC,2011-02-21T00:00:00
JL-158501,APAC,APAC,2011-02-21T00:00:00
LM-170651,APAC,APAC,2011-02-21T00:00:00
SC-200201,APAC,APAC,2011-02-21T00:00:00
RH-195101,APAC,APAC,2011-02-22T00:00:00
MG-182051,APAC,APAC,2011-02-23T00:00:00
RF-197351,APAC,APAC,2011-02-23T00:00:00
JM-156551,APAC,APAC,2011-02-24T00:00:00
FM-143801,APAC,APAC,2011-02-25T00:00:00
DF-131351,APAC,APAC,2011-02-26T00:00:00
LC-168701,APAC,APAC,2011-02-26T00:00:00
MD-178601,APAC,APAC,2011-02-26T00:00:00
DB-132701,APAC,APAC,2011-02-28T00:00:00
PS-189701,APAC,APAC,2011-02-28T00:00:00
SH-199751,APAC,APAC,2011-02-28T00:00:00
BD-116201,APAC,APAC,2011-03-01T00:00:00
KH-163601,APAC,APAC,2011-03-01T00:00:00
LH-171551,APAC,APAC,2011-03-01T00:00:00
RF-193451,APAC,APAC,2011-03-01T00:00:00
CC-124301,APAC,APAC,2011-03-02T00:00:00
GD-145901,APAC,APAC,2011-03-02T00:00:00
MZ-175151,APAC,APAC,2011-03-02T00:00:00
MV-181901,APAC,APAC,2011-03-03T00:00:00
BE-114551,APAC,APAC,2011-03-04T00:00:00
NP-183251,APAC,APAC,2011-03-07T00:00:00
DK-131501,APAC,APAC,2011-03-08T00:00:00
JR-156701,APAC,APAC,2011-03-08T00:00:00
KM-162251,APAC,APAC,2011-03-08T00:00:00
SC-206801,APAC,APAC,2011-03-08T00:00:00
SS-201401,APAC,APAC,2011-03-09T00:00:00
BM-117851,APAC,APAC,2011-03-10T00:00:00
JS-160301,APAC,APAC,2011-03-10T00:00:00
NM-185201,APAC,APAC,2011-03-11T00:00:00
SG-206051,APAC,APAC,2011-03-11T00:00:00
CD-119201,APAC,APAC,2011-03-12T00:00:00
RR-195251,APAC,APAC,2011-03-12T00:00:00
BM-115751,APAC,APAC,2011-03-14T00:00:00
DL-133301,APAC,APAC,2011-03-14T00:00:00
DK-130901,APAC,APAC,2011-03-15T00:00:00
SA-208301,APAC,APAC,2011-03-15T00:00:00
BT-116801,APAC,APAC,2011-03-16T00:00:00
CK-122051,APAC,APAC,2011-03-16T00:00:00
PF-191201,APAC,APAC,2011-03-16T00:00:00
AS-102401,APAC,APAC,2011-03-18T00:00:00
CS-121301,APAC,APAC,2011-03-18T00:00:00
DK-129851,APAC,APAC,2011-03-18T00:00:00
JM-152651,APAC,APAC,2011-03-18T00:00:00
PO-188651,APAC,APAC,2011-03-18T00:00:00
DJ-134201,APAC,APAC,2011-03-21T00:00:00
JL-151301,APAC,APAC,2011-03-21T00:00:00
MV-181901,APAC,APAC,2011-03-21T00:00:00
BM-117851,APAC,APAC,2011-03-22T00:00:00
DP-130001,APAC,APAC,2011-03-22T00:00:00
JC-153401,APAC,APAC,2011-03-22T00:00:00
PF-191651,APAC,APAC,2011-03-22T00:00:00
CS-118451,APAC,APAC,2011-03-23T00:00:00
DH-130751,APAC,APAC,2011-03-23T00:00:00
TS-215051,APAC,APAC,2011-03-23T00:00:00
AB-100601,APAC,APAC,2011-03-24T00:00:00
LW-168251,APAC,APAC,2011-03-24T00:00:00
GG-146501,APAC,APAC,2011-03-25T00:00:00
MF-176651,APAC,APAC,2011-03-25T00:00:00
SC-200201,APAC,APAC,2011-03-25T00:00:00
VM-216851,APAC,APAC,2011-03-25T00:00:00
VG-217901,APAC,APAC,2011-03-26T00:00:00
SS-208751,APAC,APAC,2011-03-28T00:00:00
MT-178151,APAC,APAC,2011-03-29T00:00:00
