"ID","age","workclass","fnlwgt","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country"
"00177",39,"State-gov",77516,"Never-married","Adm-clerical","Not-in-family","White","Male",2174,0,40,"United-States"
"00277",50,"Self-emp-not-inc",83311,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,13,"United-States"
"00377",38,"Private",215646,"Divorced","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States"
"00477",53,"Private",234721,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"United-States"
"00577",28,"Private",338409,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,0,40,"Cuba"
"00677",37,"Private",284582,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States"
"00777",49,"Private",160187,"Married-spouse-absent","Other-service","Not-in-family","Black","Female",0,0,16,"Jamaica"
"00877",52,"Self-emp-not-inc",209642,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States"
"00977",31,"Private",45781,"Never-married","Prof-specialty","Not-in-family","White","Female",14084,0,50,"United-States"
"001077",42,"Private",159449,"Married-civ-spouse","Exec-managerial","Husband","White","Male",5178,0,40,"United-States"
"001177",37,"Private",280464,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,80,"United-States"
"001277",30,"State-gov",141297,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"India"
"001377",23,"Private",122272,"Never-married","Adm-clerical","Own-child","White","Female",0,0,30,"United-States"
"001477",32,"Private",205019,"Never-married","Sales","Not-in-family","Black","Male",0,0,50,"United-States"
"001577",40,"Private",121772,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,
"001677",34,"Private",245487,"Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,0,45,"Mexico"
"001777",25,"Self-emp-not-inc",176756,"Never-married","Farming-fishing","Own-child","White","Male",0,0,35,"United-States"
"001877",32,"Private",186824,"Never-married","Machine-op-inspct","Unmarried","White","Male",0,0,40,"United-States"
"001977",38,"Private",28887,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States"
"002077",43,"Self-emp-not-inc",292175,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,45,"United-States"
