Earthquake,Snow,Rain,DTV,Aval,Rockfall,Flood,Cracks,Bearing,Joint,Bridge
yes,high,high,low,yes,no,no,moderate,good,yes,high
yes,low,high,high,no,no,yes,moderate,good,no,high
no,low,medium,high,no,no,no,high,good,no,high
no,low,low,low,no,no,no,high,good,no,medium
no,high,low,low,no,no,no,high,bad,yes,low
no,high,low,high,no,yes,yes,high,bad,yes,low
yes,high,medium,low,no,no,yes,moderate,good,yes,low
no,low,low,low,no,no,yes,moderate,good,no,medium
no,low,low,medium,yes,yes,yes,high,bad,no,medium
yes,low,high,medium,no,yes,no,moderate,bad,yes,medium
no,low,low,medium,yes,no,yes,moderate,bad,no,high
no,high,medium,low,no,no,yes,moderate,good,yes,low
no,low,high,high,yes,yes,no,small,bad,no,medium
no,high,medium,low,yes,no,yes,high,good,yes,high
no,low,low,high,no,no,yes,moderate,bad,yes,high
yes,high,low,low,yes,yes,no,small,good,yes,low
no,high,low,low,yes,no,yes,small,good,no,high
no,low,high,high,no,yes,no,moderate,good,no,low
no,low,low,low,yes,yes,yes,moderate,bad,yes,medium
yes,high,low,high,no,yes,yes,small,bad,yes,low
no,low,medium,low,no,no,yes,small,good,yes,high
no,high,medium,medium,no,yes,no,small,bad,yes,low
yes,high,low,medium,yes,yes,no,moderate,bad,no,high
yes,high,medium,high,no,no,yes,moderate,bad,yes,high
yes,high,medium,medium,yes,yes,no,high,good,yes,medium
no,high,high,high,no,no,yes,high,bad,yes,low
no,high,low,low,no,no,no,small,good,yes,high
yes,high,high,medium,no,yes,no,high,bad,no,high
yes,low,high,high,yes,no,no,high,bad,no,high
