rockfall,CS1,CS2,CS3
0,1.46E-10,1.73E-11,2.13E-15
1,4.16E-09,2.82E-09,2.83E-11
2,7.21E-08,1.61E-07,2.61E-08
3,8.21E-07,4.00E-06,3.53E-06
4,6.52E-06,5.14E-05,1.20E-04
5,3.81E-05,0.000391326,0.001521138
6,0.000171464,0.001961812,0.009423108
7,0.000617979,0.007061962,0.03496231
8,0.001842673,0.019538846,0.089734524
9,0.00467486,0.043859306,0.176708638
10,0.010334937,0.083382024,0.28763104
11,0.020319113,0.138917127,0.408266907
12,0.036148605,0.208396621,0.52516834
13,0.059059078,0.28763104,0.629384407
14,0.089734524,0.371558174,0.716862603
15,0.128165458,0.455377806,0.78717167
16,0.17365712,0.535260214,0.8419414
17,0.224961794,0.608605318,0.883656262
18,0.28048104,0.673980763,0.914917284
19,0.338481085,0.730894479,0.938072669
20,0.397279051,0.77952127,0.955080875
21,0.455377806,0.820452962,0.967498697
22,0.511544834,0.854501376,0.976525805
23,0.564842096,0.882558492,0.983067604
24,0.614619282,0.905506112,0.987797719
25,0.660483648,0.924163385,0.991212368
26,0.702257817,0.939260886,0.993674531
27,0.739934055,0.951431993,0.995448417
28,0.773630603,0.961214684,0.996725661
29,0.803553199,0.969059019,0.997644916
30,0.829963151,0.975337219,0.998306313
